,Name,Calories,Carbs,Fats,Proteins,Fiber,Cholestrol,Sugar
356,Indian Spinach Dal,100,12.0,4.0,4.0,4.0,0,1.0
357,Indian Spiced Lentil,160,30.0,2.5,7.0,7.0,0,6
358,All Natural Kettlecorn,130,21.0,5.0,1.0,2.0,0,4
359,Garlic Naan,200,36.0,3.5,7.0,2.0,0,9.0
360,"Tomato Sauce, Authentic Indian",25,5.0,0.0,0.0,0.0,0,6
361,Chai Indian Tea Concentrate,35,9.0,0.0,0.0,0.0,0,2
362,Organic Soups Indian Dal Curried Lentil,230,30.0,9.0,9.0,11.0,5,5
363,"Curry Oil, Indian Mild",130,0.0,14.0,0.0,0.0,0,9
364,"Hot Curry, Indian, Blend",0,0.0,0.0,0.0,0.0,0,4
365,Poha Sev,200,35.0,5.0,4.0,3.0,0,0
